project,bug_id,flexeme_exists,smartcommit_exists
JacksonDatabind,89,True,True
JacksonDatabind,37,True,True
Jsoup,42,False,True
Closure,102,True,True
JacksonDatabind,92,True,True
Cli,7,False,True
JacksonDatabind,17,True,True
Closure,173,True,True
Jsoup,79,True,True
JacksonDatabind,27,False,True
Closure,11,True,True
Mockito,13,False,True
Cli,9,True,True
Closure,44,True,True
Cli,27,True,True
Mockito,18,False,True
Closure,141,True,True
Closure,25,True,True
Math,55,True,True
Cli,23,True,True
Cli,4,True,True
Closure,17,True,True
Closure,136,True,True
Jsoup,65,True,True
Compress,40,True,True
Codec,5,True,True
Math,63,True,True
Closure,121,True,True
Closure,7,True,True
Compress,22,True,False
Jsoup,25,False,True
Lang,27,True,True
JacksonDatabind,79,True,True
Math,31,True,True
Compress,7,True,True
Closure,69,True,True
Math,97,True,True
Math,42,True,True
Jsoup,44,True,True
Compress,20,True,True
JacksonDatabind,39,True,True
Closure,76,True,True
Lang,10,True,True
Math,19,True,True
Math,45,True,True
JacksonCore,2,True,True
Gson,15,False,True
Closure,13,True,True
Math,66,True,True
Lang,58,True,True
Closure,58,True,True
Closure,97,True,True
JacksonCore,20,True,True
Closure,151,True,True
Codec,1,True,True
Compress,38,True,True
Lang,15,True,True
Closure,71,True,True
Time,8,False,True
Math,32,True,True
Closure,56,True,True
Csv,3,True,True
JacksonXml,1,False,True
Jsoup,33,True,False
Closure,109,True,True
JacksonDatabind,4,True,True
Jsoup,76,True,True
Closure,145,True,True
JacksonDatabind,44,True,False
Cli,22,True,True
Codec,13,True,True
Jsoup,36,True,True
Jsoup,50,True,True
Time,18,True,True
JacksonDatabind,8,False,True
Lang,40,True,True
Collections,27,False,True
JacksonDatabind,70,True,True
Closure,16,True,True
Closure,66,True,True
Closure,147,True,True
